,STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DISTRICT,GLOBALID
113,Closed Convenience Store,Pushupati Corner Store,,327 14TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99153500000001,39.741172,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
114,Pharmacy,Rite Aid,,750 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99310600000001,39.745407,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
115,Small Grocery Store,Cook's Fresh Market,,1600 GLENARM PL STE 120,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.98978100000001,39.744014,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
116,Small Grocery Store,Walgreen,,801 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99305600000001,39.746037,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
117,Convenience Store,7-Eleven,,1755 Blake St Ste 100,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99721699999999,39.752063,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
118,Convenience Store,Market Snacks,,1601 MARKET ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99817900000001,39.750696999999995,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
119,Convenience Store,Pacific Mercantile Co,,1925 Lawrence St,,Denver,CO,80202.0,(303) 295-0293,,,541105.0,445110.0,4644000.0,,18.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.992754,39.751698,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
120,Convenience Store,Russell's,,1200 17TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99591000000001,39.74921,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
121,Discount Merchandise Market,Sunlite Convenience Store,,1875 Lawrence St # 100,,Denver,CO,80202.0,,,,,,,,,,,,InfoGroup2014,-104.993522,39.751259999999995,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
122,Supermarket,King Soopers,,1950 Chestnut St,,Denver,CO,,,,,,,,,,,,,DEH2015,-104.998956,39.757234999999994,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
123,Specialty Food Store,Evoo Marketplace,,1338 15th St,,Denver,CO,80202.0,(303) 974-5784,,,543102.0,445230.0,404000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.99947900000001,39.748768,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
124,Specialty Food Store,Smith & Truslow,,1444 Wazee St,,Denver,CO,80202.0,(303) 339-6967,,,549913.0,445299.0,343000.0,,3.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.001562,39.749801,,Union Station,Council District 9,{00000000-0000-0000-0000-000000000000}
125,Convenience Store,Champa Food Store,,2960 CHAMPA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.977033,39.759423999999996,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
126,Convenience Store,Champa Food Store,,2960 Champa St,,Denver,CO,80205.0,(303) 297-8634,,,541105.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.977033,39.759423999999996,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
127,Convenience Store,Five Points Market,,2721 Welton St,,Denver,CO,80205.0,,,,,,,,,,,,,-104.97768300000001,39.755231,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
128,Convenience Store,Front Range Markets,,1415 Park Ave W,,Denver,CO,80205.0,(303) 643-5889,,,541101.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.98986200000002,39.756794,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
129,Convenience Store,Hello Mini Mart,,2660 ARAPAHOE ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.98236399999999,39.757936,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
130,Convenience Store,Town Grocery,,2815 Downing St,,Denver,CO,80205.0,(303) 297-0378,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.97361000000001,39.757411,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
131,Convenience Store With Gas,Conoco,,3083 N BRIGHTON BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.984551,39.766533,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
132,Small Grocery Store,Mondo Market,,3350 Brighton Blvd,,Denver,CO,80216.0,(720) 379-7699,,,541101.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.979796,39.76874,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
133,Supermarket,Safeway,,757 E 20th Ave,,Denver,CO,80205.0,(303) 861-8169,,,541105.0,445110.0,14191000.0,,55.0,50 to 99,,"2,500 - 9,999",InfoGroup2014,-104.97753600000001,39.748965999999996,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
134,Specialty Food Store,Amerigo Delicatus,,2449 LARIMER ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.987022,39.757512,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
135,Specialty Food Store,Larimer St Market,,2063 Larimer St,,Denver,CO,80205.0,(303) 295-0442,,,541101.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.99163700000001,39.753889,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
136,Specialty Food Store,Meathead,,3350 N BRIGHTON BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.979796,39.76874,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
137,Specialty Food Store,Tres Rios Agricultural Co-Op,,214 Denargo Market,,Denver,CO,80216.0,(303) 293-1990,,,,,,,,,,,InfoGroup2014,-104.989948,39.761875,,Five Points,Council District 9,{00000000-0000-0000-0000-000000000000}
138,Convenience Store,Holly Food Mart,,5538 E 33RD AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.923317,39.763644,,Northeast Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
139,Convenience Store With Gas,Conoco Mile High,,4140 N Grape St,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.924328,39.774412,,Northeast Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
140,Convenience Store With Gas,Diamond Shamrock/Corner Store,,3490 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.94018,39.765312,,Northeast Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
141,Convenience Store With Gas,Malmart #1,,3400 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.940173,39.764784000000006,,Northeast Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
142,Small Grocery Store,Mountain Fresh Market,,3885 Forest St,,Denver,CO,80207.0,(720)639-1655,,,,,,,,,,,DEH2015,-104.92716399999999,39.770788,,Northeast Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
143,Convenience Store,Fairfax Market,,2835 Fairfax St,,Denver,CO,80207.0,(303) 862-7472,,,541105.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.92841200000001,39.757228000000005,Healthy Corner Store Initiative,North Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
144,Dollar Store,Family Dollar,,2848 Colorado Blvd,,Denver,CO,80207.0,(303) 322-0801,,,533101.0,452990.0,677000.0,,4.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.940219,39.757334,,North Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
145,Small Grocery Store,Spinelli,,4621 E 23RD AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.933304,39.751181,,North Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
146,Convenience Store,Oneida Food Mart,,2201 N ONEIDA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.908546,39.750417999999996,,South Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
147,Convenience Store With Gas,7-Eleven,,1580 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.940124,39.741161,,South Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
148,Convenience Store With Gas,Diamond Shamrock,,5455 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.92391299999998,39.740477,,South Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
149,Convenience Store With Gas,East Colfax BP,,1515 N QUEBEC ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.903772,39.7405,,South Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
150,Convenience Store With Gas,Twin Star Energy,,1504 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.939843,39.740685,,South Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
151,Dollar Store,Dollar Tree,,4923 E Colfax Ave,,Denver,CO,80220.0,(303) 321-2712,,,533101.0,452990.0,2201000.0,,13.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.930388,39.740659,,South Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
152,Specialty Food Store,Ethiopian Culture Mesob Market,,1510 KEARNEY ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.91736000000002,39.7406,,South Park Hill,Council District 8,{00000000-0000-0000-0000-000000000000}
153,Convenience Store,7-Eleven,,7675 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.899093,39.740476,,East Colfax,Council District 8,{00000000-0000-0000-0000-000000000000}
154,Convenience Store,Grocery Store,,8105 E Colfax Ave,,Denver,CO,80220.0,(720) 645-1114,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.893728,39.740323,,East Colfax,Council District 8,{00000000-0000-0000-0000-000000000000}
155,Convenience Store With Gas,East Colfax Sinclair,,8275 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.892063,39.740451,,East Colfax,Council District 8,{00000000-0000-0000-0000-000000000000}
156,Convenience Store With Gas,7-Eleven,,8755 E Montview Blvd,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.886451,39.747738,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
157,Convenience Store With Gas,7-Eleven,,3992 N Havana St,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.865153,39.77248,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
158,Convenience Store With Gas,Conoco,,3895 N PEORIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.847512,39.770745,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
159,Convenience Store With Gas,Diamond Shamrock,,3860 N PEORIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.84657800000001,39.770191,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
160,Pharmacy,Walgreen,,7311 E 29TH DR,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.902524,39.759686,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
161,Supercenter,Target,,7930 Northfield Blvd,,Denver,CO,80238.0,(303) 209-8720,,,531102.0,452111.0,33025000.0,,150.0,100 to 249,,"40,000+",InfoGroup2014,-104.894589,39.78544,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
162,Supermarket,King Soopers,,2810 Quebec St,,Denver,CO,80207.0,(303) 333-3223,,,541105.0,445110.0,25802000.0,,100.0,100 to 249,,"40,000+",InfoGroup2014,-104.901847,39.7566,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
163,Specialty Food Store,Euro Cafe and Market,,8270 E NORTHFIELD BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.892648,39.779734999999995,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
164,Warehouse Club Store,Sams Club,,7805 E 35th Ave,,Denver,CO,80238.0,(720) 941-6180,,,531110.0,452910.0,39630000.0,,180.0,100 to 249,,"40,000+",InfoGroup2014,-104.898098,39.76627,,Stapleton,Council District 8,{00000000-0000-0000-0000-000000000000}
165,Convenience Store,7-Eleven,,4701 N PEORIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.847803,39.783106,,Montbello,Council District 8,{00000000-0000-0000-0000-000000000000}
166,Convenience Store With Gas,7-Eleven,,4500 N PEORIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.84622900000001,39.778576,,Montbello,Council District 8,{00000000-0000-0000-0000-000000000000}
167,Convenience Store With Gas,7-Eleven,,12880 E ALBROOK DR,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.842412,39.780539000000005,,Montbello,Council District 8,{00000000-0000-0000-0000-000000000000}
168,Convenience Store With Gas,Conoco,,4495 N PEORIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.84759,39.777675,,Montbello,Council District 8,{00000000-0000-0000-0000-000000000000}
169,Convenience Store With Gas,Shell,,4650 N PEORIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.846568,39.78075,,Montbello,Council District 8,{00000000-0000-0000-0000-000000000000}
170,Dollar Store,Family Dollar,,4701 Peoria St # 123,,Denver,CO,80239.0,(303) 371-3990,,,533101.0,452990.0,1524000.0,,9.0,5 to 9,,"2,500 - 9,999",InfoGroup2014,-104.848191,39.782854,,Montbello,Council District 8,{00000000-0000-0000-0000-000000000000}
171,Superette,Chihuahua Carniceria,,4660 Peoria St,,Denver,CO,,,,,,,,,,,,,DEH2016,-104.84659365,39.78104095,,Montbello,Council District 8,{00000000-0000-0000-0000-000000000000}
172,Convenience Store With Gas,7-Eleven,,4709 N Tower Rd,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.77271,39.781967,,Gateway - Green Valley Ranch,Council District 11,{00000000-0000-0000-0000-000000000000}
173,Convenience Store With Gas,Circle K,,4570 N CHAMBERS RD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.80903599999999,39.775507,,Gateway - Green Valley Ranch,Council District 11,{00000000-0000-0000-0000-000000000000}
174,Convenience Store With Gas,Conoco/Circle K,,4400 N CHAMBERS RD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.808959,39.774682,,Gateway - Green Valley Ranch,Council District 11,{00000000-0000-0000-0000-000000000000}
175,Dollar Store,Family Dollar,,4775 Yampa St,,Denver,CO,80249.0,(303) 371-9116,,,533101.0,452990.0,1016000.0,,6.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.774828,39.783079,,Gateway - Green Valley Ranch,Council District 11,{00000000-0000-0000-0000-000000000000}
176,Pharmacy,Walgreen,,18550 GREEN VALLEY RANCH BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.77068299999999,39.783433,,Gateway - Green Valley Ranch,Council District 11,{00000000-0000-0000-0000-000000000000}
177,Supermarket,King Soopers,,18605 Green Valley Ranch,,Denver,CO,80249.0,(303) 371-8985,,,541105.0,445110.0,25802000.0,,100.0,100 to 249,,"40,000+",InfoGroup2014,-104.77002900000001,39.784882,,Gateway - Green Valley Ranch,Council District 11,{00000000-0000-0000-0000-000000000000}
178,Convenience Store,Vertical Mile Market,,8500 PENA BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.674044,39.851925,,DIA,Council District 11,{00000000-0000-0000-0000-000000000000}
179,Convenience Store With Gas,7-Eleven,,7080 N Tower Rd,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.771108,39.825055,,DIA,Council District 11,{00000000-0000-0000-0000-000000000000}
180,Convenience Store With Gas,Conoco,,7680 PENA BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.720158,39.836043,,DIA,Council District 11,{00000000-0000-0000-0000-000000000000}
181,Convenience Store With Gas,Chambers Gas & Wash,,5103 N Chambers Rd,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.810793,39.784306,,Montbello,Council District 11,{00000000-0000-0000-0000-000000000000}
182,Convenience Store With Gas,7-Eleven,,1000 N. Federal Blvd.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024629,39.733242,,Sun Valley,Council District 3,{00000000-0000-0000-0000-000000000000}
183,Convenience Store,7-Eleven,,5090 N Federal Blvd,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02478500000001,39.788959999999996,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
184,Convenience Store With Gas,Bradley Petroleum,,5000 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02479,39.787728,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
185,Convenience Store With Gas,Tanay @ Conoco,,4880 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02462299999999,39.785249,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
186,Convenience Store,Florida Avenue Market,,4393 W Florida Ave,,Denver,CO,80219.0,(303) 922-9151,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.043388,39.689749,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
187,Convenience Store With Gas,7-Eleven,,1499 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02541399999998,39.689811999999996,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
188,Dollar Store,Dollar Depot,,4263 W Florida Ave,,Denver,CO,80219.0,(303) 935-9000,,,531102.0,452111.0,440000.0,,2.0,1 to 4,,"40,000+",InfoGroup2014,-105.042022,39.690468,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
189,Dollar Store,Dollar Tree,,4385 W Florida Ave,,Denver,CO,80219.0,(303) 935-7720,,,533101.0,452990.0,1862000.0,,11.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.044096,39.690566,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
190,Small Grocery Store,Ana's Meat Market,,1411 S Federal Blvd,,Denver,CO,80219.0,(303) 922-6455,,,542107.0,445210.0,630000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.026008,39.690768,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
191,Small Grocery Store,Leever's / Save A Lot,,4255 W Florida Ave,,Denver,CO,80219.0,(303) 935-0880,,,541105.0,445110.0,7740000.0,,30.0,20 to 49,,"2,500 - 9,999",InfoGroup2014,-105.042829,39.690414000000004,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
192,Supermarket,King Soopers,,5125 W Florida Ave,,Denver,CO,80219.0,(303) 934-3147,,,541105.0,445110.0,36897000.0,,143.0,100 to 249,,"40,000+",InfoGroup2014,-105.051947,39.690469,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
193,Specialty Food Store,Anastasia's Desserts,,1350 S SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052872,39.691935,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
194,Specialty Food Store,Indus Imports,,1225 S Federal Blvd,,Denver,CO,80219.0,(303) 742-4443,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025364,39.694452000000005,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
195,Specialty Food Store,Tortilleria Victoria,,4365 W Florida Ave,,Denver,CO,80219.0,(303) 975-0006,,,541105.0,445110.0,1290000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.043893,39.690661999999996,,Mar Lee,Council District 3,{00000000-0000-0000-0000-000000000000}
196,Convenience Store,Gloria Abbarrotes Market,,4845 Morrison Rd,,Denver,CO,80219.0,(303) 922-3115,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.04911899999999,39.699912,Healthy Corner Store Initiative,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
197,Convenience Store,Kentucky Supermarket,,3145 W Kentucky Ave,,Denver,CO,80219.0,(303) 934-7342,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.027231,39.700677,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
198,Convenience Store,Tienda de Sandoval,,3937 Morrison Rd,,Denver,CO,80219.0,,,,,,,,,,,,,-105.03941200000001,39.706565000000005,Healthy Corner Store Initiative,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
199,Convenience Store With Gas,Conoco,,3434 W ALAMEDA AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.03211499999999,39.710646000000004,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
200,Convenience Store With Gas,Sam's Corner Store,,883 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025475,39.700788,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
201,Convenience Store With Gas,Sheridan Jiffy Stop,,898 S SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052908,39.700739,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
202,Pharmacy,Hong Duc LLC,,945 S Federal Blvd # F,,Denver,CO,80219.0,(303) 935-6299,,,549913.0,445299.0,114000.0,,1.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.025462,39.699514,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
203,Small Grocery Store,Abarrote Angelito Quetzal,,3892 Morrison Rd,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.038331,39.70697,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
204,Small Grocery Store,Hau Giang Market,,1095 S Federal Blvd,,Denver,CO,80219.0,(303) 936-7537,,,541105.0,445110.0,1032000.0,,4.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025419,39.696946000000004,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
205,Small Grocery Store,Hong Phat Market Inc,,1001 S Federal Blvd,,Denver,CO,80219.0,(303) 934-1664,,,541105.0,445110.0,2322000.0,,9.0,5 to 9,,"2,500 - 9,999",InfoGroup2014,-105.025326,39.698428,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
206,Small Grocery Store,L & P Seafood,,1055 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02541799999999,39.697421999999996,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
207,Small Grocery Store,Panaderia Contreras,,3570 MORRISON RD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.034675,39.709539,Healthy Corner Store Initiative,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
208,Small Grocery Store,Store Perez,,3420 W Alameda Ave,,Denver,CO,80219.0,(720) 855-7671,,,539901.0,452990.0,496000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.031631,39.710898,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
209,Closed Small Grocery Store,Panaderia Santa Cruz,,3548 MORRISON RD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.034021,39.709989,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
210,Closed Supermarket,88 Market,,421 S Federal Blvd,,Denver,CO,80219.0,(720) 884-1188,,,541105.0,445110.0,1032000.0,,4.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025488,39.709088,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
211,Specialty Food Store,Carniceria La Sierra,,3154 W Alameda Ave,,Denver,CO,80219.0,(303) 935-6293,,,542107.0,445210.0,630000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.02772,39.710908,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
212,Specialty Food Store,Indochina Ginseng Co,,1045 S Federal Blvd,,Denver,CO,80219.0,(303) 935-0400,,,541105.0,445110.0,1032000.0,,4.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025428,39.697586,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
213,Specialty Food Store,Vinh Xuong Bakery,,375 S FEDERAL BLVD,,Denver,CO,80219.0,,,,,,,,,,,,DEH2014,-105.025773,39.710081,,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
214,Convenience Store,Abarrotes Medina,,4320 Morrison Rd,,Denver,CO,,,,,,,,,,,,,DEH2016,-105.04305041,39.70335218,Healthy Corner Store Initiative,Westwood,Council District 3,{00000000-0000-0000-0000-000000000000}
215,Convenience Store,7-Eleven,,105 N KNOX CT,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.032839,39.718401,,Barnum,Council District 3,{00000000-0000-0000-0000-000000000000}
216,Convenience Store,Quick Stop Food Mart,,5 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025477,39.716752,,Barnum,Council District 3,{00000000-0000-0000-0000-000000000000}
217,Small Grocery Store,Mi Pueblo Market,,125 Knox Ct,,Denver,CO,80219.0,(303) 253-7640,,,541105.0,445110.0,9030000.0,,35.0,20 to 49,,"2,500 - 9,999",InfoGroup2014,-105.03283799999998,39.718740999999994,,Barnum,Council District 3,{00000000-0000-0000-0000-000000000000}
218,Convenience Store,B Cigarettes & Convenience Store,,2910 W JEWELL AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02399299999999,39.682029,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
219,Convenience Store,Mini Market,,2960 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024651,39.662433,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
220,Convenience Store With Gas,Barn Store,,2804 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024819,39.665112,,College View - South Platte,Council District 7,{00000000-0000-0000-0000-000000000000}
221,Convenience Store,7-Eleven,,1850 S SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.05256000000001,39.682466,,Mar Lee,Council District 2,{00000000-0000-0000-0000-000000000000}
222,Pharmacy,Walgreen,,1505 S FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02575700000001,39.68907,,Mar Lee,Council District 2,{00000000-0000-0000-0000-000000000000}
223,Convenience Store With Gas,Diamond Shamrock,,4797 S WADSWORTH WAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.087432,39.630571999999994,,Marston,Council District 2,{00000000-0000-0000-0000-000000000000}
224,Convenience Store With Gas,Littleton My Mart,,4550 S KIPLING ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.10890500000001,39.633709,,Marston,Council District 2,{00000000-0000-0000-0000-000000000000}
225,Discount Merchandise Market,Big Lots,,8100 W Crestline Ave # B5,,Denver,CO,80123.0,(303) 933-9186,,,533101.0,452990.0,2032000.0,,12.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.08788100000001,39.618221999999996,,Marston,Council District 2,{00000000-0000-0000-0000-000000000000}
226,Supercenter,Walmart,,7700 W Quincy Ave,,Littleton,CO,80123.0,(303) 971-0321,,,531102.0,452111.0,48436000.0,,220.0,100 to 249,,"40,000+",InfoGroup2014,-105.083055,39.638644,,Marston,Council District 2,{00000000-0000-0000-0000-000000000000}
